,Symbol,Name,Sector,Industry
460,UNP,Union Pacific Corporation,Industrials,Rail Transportation
461,UAL,United Airlines Holdings,Industrials,Passenger Airlines
462,UPS,United Parcel Service,Industrials,Air Freight & Logistics
463,URI,United Rentals,Industrials,Trading Companies & Distributors
464,UNH,UnitedHealth Group,Health Care,Managed Health Care
465,UHS,Universal Health Services,Health Care,Health Care Facilities
466,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
467,VTR,Ventas,Real Estate,Health Care REITs
468,VLTO,Veralto,Industrials,Environmental & Facilities Services
469,VRSN,Verisign,Information Technology,Internet Services & Infrastructure
470,VRSK,Verisk Analytics,Industrials,Research & Consulting Services
471,VZ,Verizon,Communication Services,Integrated Telecommunication Services
472,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
473,VTRS,Viatris,Health Care,Pharmaceuticals
474,VICI,Vici Properties,Real Estate,Hotel & Resort REITs
475,V,Visa Inc.,Financials,Transaction & Payment Processing Services
476,VST,Vistra Corp.,Utilities,Electric Utilities
477,VMC,Vulcan Materials Company,Materials,Construction Materials
478,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
479,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
480,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
481,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
482,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
483,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment
484,WBD,Warner Bros. Discovery,Communication Services,Broadcasting
485,WM,Waste Management,Industrials,Environmental & Facilities Services
486,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services
487,WEC,WEC Energy Group,Utilities,Electric Utilities
488,WFC,Wells Fargo,Financials,Diversified Banks
489,WELL,Welltower,Real Estate,Health Care REITs
490,WST,West Pharmaceutical Services,Health Care,Health Care Supplies
491,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
492,WY,Weyerhaeuser,Real Estate,Timber REITs
493,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
494,WTW,Willis Towers Watson,Financials,Insurance Brokers
495,WDAY,"Workday, Inc.",Information Technology,Application Software
496,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
497,XEL,Xcel Energy,Utilities,Multi-Utilities
498,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
499,YUM,Yum! Brands,Consumer Discretionary,Restaurants
500,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
501,ZBH,Zimmer Biomet,Health Care,Health Care Equipment
502,ZTS,Zoetis,Health Care,Pharmaceuticals
